;fingerprint;x-pos;y-pos;ssid;bssidd;signal_strength;frequency_standard
0;0;5;5;b'';b'ea:63:da:07:47:21';40;b' 802.11n'
1;0;5;5;b'';b'e0:63:da:07:47:21';40;b' 802.11n'
2;0;5;5;b'';b'ee:63:da:07:47:21';40;b' 802.11n'
3;0;5;5;b'WiTre_Gast';b'e6:63:da:07:47:21';40;b' 802.11n'
4;0;5;5;b'Vodafone Homespot';b'7a:6a:1f:3a:95:b9';89;b' 802.11n'
5;0;5;5;b'Schirmakazie2';b'78:6a:1f:3a:95:e9';91;b' 802.11n'
6;0;5;5;b'Schirmakazie2';b'78:6a:1f:3a:95:ea';89;b'802.11ac'
7;0;5;5;b'Schirmakazie';b'24:65:11:8a:e8:9f';81;b' 802.11n'
8;0;5;5;b'Vodafone Hotspot';b'7a:6a:1f:3a:95:99';90;b' 802.11n'
9;1;6;6;b'';b'ea:63:da:07:47:21';40;b' 802.11n'
10;1;6;6;b'';b'e0:63:da:07:47:21';40;b' 802.11n'
11;1;6;6;b'';b'ee:63:da:07:47:21';40;b' 802.11n'
12;1;6;6;b'WiTre_Gast';b'e6:63:da:07:47:21';40;b' 802.11n'
13;1;6;6;b'Vodafone Homespot';b'7a:6a:1f:3a:95:b9';93;b' 802.11n'
14;1;6;6;b'Schirmakazie2';b'78:6a:1f:3a:95:e9';91;b' 802.11n'
15;1;6;6;b'Schirmakazie2';b'78:6a:1f:3a:95:ea';89;b'802.11ac'
16;1;6;6;b'Schirmakazie';b'24:65:11:8a:e8:9f';78;b' 802.11n'
17;1;6;6;b'Vodafone Hotspot';b'7a:6a:1f:3a:95:99';93;b' 802.11n'
18;1;6;6;b'DTUBI-92318054';b'54:f2:9f:13:ce:aa';31;b'802.11ax'
19;1;6;6;b'WLAN-343813';b'cc:d4:2e:20:fe:ea';31;b'802.11ac'
20;2;4;6;b'';b'ea:63:da:07:47:21';40;b' 802.11n'
21;2;4;6;b'';b'e0:63:da:07:47:21';40;b' 802.11n'
22;2;4;6;b'';b'ee:63:da:07:47:21';40;b' 802.11n'
23;2;4;6;b'TP-Link_7104';b'90:9a:4a:07:71:04';31;b' 802.11n'
24;2;4;6;b'WiTre_Gast';b'e6:63:da:07:47:21';40;b' 802.11n'
25;2;4;6;b'Vodafone Homespot';b'7a:6a:1f:3a:95:b9';94;b' 802.11n'
26;2;4;6;b'Schirmakazie2';b'78:6a:1f:3a:95:e9';93;b' 802.11n'
27;2;4;6;b'Schirmakazie2';b'78:6a:1f:3a:95:ea';93;b'802.11ac'
28;2;4;6;b'Schirmakazie';b'24:65:11:8a:e8:9f';85;b' 802.11n'
29;2;4;6;b'Vodafone Hotspot';b'7a:6a:1f:3a:95:99';92;b' 802.11n'
30;2;4;6;b'DTUBI-92318054';b'54:f2:9f:13:ce:aa';46;b'802.11ax'
31;2;4;6;b'WLAN-343813';b'cc:d4:2e:20:fe:ea';31;b'802.11ac'
