
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
E0:63:DA:07:47:21, 2024-12-24 19:15:50, 2024-12-24 19:15:50,  1, 130, WPA2, CCMP, PSK, -82,        3,        0,   0.  0.  0.  0,   7, uniwifi, 
E6:63:DA:07:47:21, 2024-12-24 19:15:50, 2024-12-24 19:15:50,  1, 130, WPA2, CCMP, PSK, -82,        3,        0,   0.  0.  0.  0,   9, WiTre_IoT, 
00:1E:C0:25:45:AD, 2024-12-24 19:15:50, 2024-12-24 19:15:51,  1,  54, WEP, WEP,   , -60,        3,       25,   0.  0.  0.  0,  13, XR18-25-45-AD, 
EA:63:DA:74:57:E3, 2024-12-24 19:15:50, 2024-12-24 19:15:50,  1, 195, WPA2, CCMP, PSK, -89,        2,        0,   0.  0.  0.  0,  10, WiTre_Gast, 
7A:6A:1F:3A:95:99, 2024-12-24 19:15:50, 2024-12-24 19:15:50,  1, 195, OPN, ,   , -53,        3,        0,   0.  0.  0.  0,  16, Vodafone Hotspot, 
7A:6A:1F:3A:95:B9, 2024-12-24 19:15:50, 2024-12-24 19:15:51,  1, 195, OPN, ,   , -53,        4,        0,   0.  0.  0.  0,  17, Vodafone Homespot, 
78:6A:1F:3A:95:E9, 2024-12-24 19:15:50, 2024-12-24 19:15:51,  1, 195, WPA2, CCMP, PSK, -54,        4,        0,   0.  0.  0.  0,  13, Schirmakazie2, 
EA:63:DA:07:47:21, 2024-12-24 19:15:50, 2024-12-24 19:15:50,  1, 130, WPA2, CCMP, PSK, -83,        2,        0,   0.  0.  0.  0,  10, WiTre_Gast, 
EA:63:DA:15:71:BE, 2024-12-24 19:15:50, 2024-12-24 19:15:50,  1, 195, WPA2, CCMP, PSK, -85,        2,        0,   0.  0.  0.  0,  10, WiTre_Gast, 
E0:63:DA:15:71:BE, 2024-12-24 19:15:50, 2024-12-24 19:15:50,  1, 195, WPA2, CCMP, PSK, -83,        1,        0,   0.  0.  0.  0,   7, uniwifi, 
E6:63:DA:15:71:BE, 2024-12-24 19:15:50, 2024-12-24 19:15:50,  1, 195, WPA2, CCMP, PSK, -84,        1,        0,   0.  0.  0.  0,   9, WiTre_IoT, 
24:65:11:8A:E8:9F, 2024-12-24 19:15:50, 2024-12-24 19:15:50, 13, 270, WPA2, CCMP, PSK, -62,        3,        0,   0.  0.  0.  0,  12, Schirmakazie, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
7E:1A:97:2D:30:EA, 2024-12-24 19:15:50, 2024-12-24 19:15:51, -42,       43, 00:1E:C0:25:45:AD,

