
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
2C:91:AB:04:7E:E4, 2024-12-24 18:33:31, 2024-12-24 18:36:03,  6,  -1, WPA, ,   ,  -1,        0,        4,   0.  0.  0.  0,   0, , 
7C:FF:4D:58:DC:D8, 2024-12-24 18:33:32, 2024-12-24 18:36:02,  6, 195, WPA2, CCMP, PSK, -89,      644,       18,   0.  0.  0.  0,  17, FRITZ!Box 7430 NH, 
F8:5E:42:27:6C:C8, 2024-12-24 18:33:35, 2024-12-24 18:36:02,  6, 195, WPA2, CCMP, PSK, -90,        9,        3,   0.  0.  0.  0,  13, Vodafone-6CC4, 
FA:5E:42:27:6C:CA, 2024-12-24 18:33:40, 2024-12-24 18:35:58,  6, 195, OPN, ,   , -91,        5,        0,   0.  0.  0.  0,  17, Vodafone Homespot, 
7E:61:66:DF:B5:8E, 2024-12-24 18:33:59, 2024-12-24 18:35:28,  6, 130, WPA2, CCMP, PSK, -88,        9,        0,   0.  0.  0.  0,  21, , 
FA:5E:42:27:6C:CC, 2024-12-24 18:35:00, 2024-12-24 18:35:56,  6, 195, OPN, ,   , -89,        6,        0,   0.  0.  0.  0,  16, Vodafone Hotspot, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
2C:C3:E6:D4:0B:66, 2024-12-24 18:33:31, 2024-12-24 18:36:03, -87,      135, 2C:91:AB:04:7E:E4,
E0:D8:C4:97:AB:5E, 2024-12-24 18:33:32, 2024-12-24 18:33:32, -87,        4, (not associated) ,
10:96:93:AA:29:FF, 2024-12-24 18:33:40, 2024-12-24 18:36:00, -89,        8, 7C:FF:4D:58:DC:D8,
64:A2:00:5A:8A:74, 2024-12-24 18:33:44, 2024-12-24 18:33:44, -43,        1, (not associated) ,
CE:CF:F6:C4:43:0A, 2024-12-24 18:34:05, 2024-12-24 18:35:47, -45,        4, (not associated) ,
F8:0F:F9:79:FA:2E, 2024-12-24 18:34:14, 2024-12-24 18:35:17, -88,        2, (not associated) ,FRITZ!Box Fon WLAN 7270
7E:1A:97:2D:30:EA, 2024-12-24 18:34:31, 2024-12-24 18:35:58, -28,       40, (not associated) ,ATU-GAST
74:58:F3:2B:77:C4, 2024-12-24 18:34:40, 2024-12-24 18:34:40, -93,        1, 7C:FF:4D:58:DC:D8,
A8:3B:76:00:22:2B, 2024-12-24 18:34:42, 2024-12-24 18:34:42, -29,        2, (not associated) ,Schirmakazie2
7C:61:66:DF:35:8E, 2024-12-24 18:34:44, 2024-12-24 18:34:44, -90,        1, 7C:FF:4D:58:DC:D8,

