
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:1E:C0:25:45:AD, 2024-12-24 18:39:24, 2024-12-24 18:39:50,  1,  54, WEP, WEP,   , -61,       22,      119,   0.  0.  0.  0,  13, XR18-25-45-AD, 
E6:63:DA:15:71:BE, 2024-12-24 18:39:24, 2024-12-24 18:39:47,  1, 195, WPA2, CCMP, PSK, -87,       11,        0,   0.  0.  0.  0,   9, WiTre_IoT, 
EA:63:DA:15:71:BE, 2024-12-24 18:39:24, 2024-12-24 18:39:46,  1, 195, WPA2, CCMP, PSK, -87,       12,        0,   0.  0.  0.  0,  10, WiTre_Gast, 
EA:63:DA:74:57:E3, 2024-12-24 18:39:24, 2024-12-24 18:39:43,  1, 195, WPA2, CCMP, PSK, -92,        5,        0,   0.  0.  0.  0,  10, WiTre_Gast, 
E6:63:DA:74:57:E3, 2024-12-24 18:39:24, 2024-12-24 18:39:43,  1, 195, WPA2, CCMP, PSK, -92,        4,        0,   0.  0.  0.  0,   9, WiTre_IoT, 
7A:6A:1F:3A:95:99, 2024-12-24 18:39:25, 2024-12-24 18:39:46,  1, 195, OPN, ,   , -50,       16,        0,   0.  0.  0.  0,  16, Vodafone Hotspot, 
7A:6A:1F:3A:95:B9, 2024-12-24 18:39:25, 2024-12-24 18:39:46,  1, 195, OPN, ,   , -50,       20,        0,   0.  0.  0.  0,  17, Vodafone Homespot, 
78:6A:1F:3A:95:E9, 2024-12-24 18:39:25, 2024-12-24 18:39:46,  1, 195, WPA2, CCMP, PSK, -41,       18,        4,   0.  0.  0.  0,  13, Schirmakazie2, 
C0:25:06:0D:4B:7D, 2024-12-24 18:39:25, 2024-12-24 18:39:47,  1, 270, WPA2 WPA, CCMP TKIP, PSK, -90,       15,        0,   0.  0.  0.  0,  23, FRITZ!Box Fon WLAN 7270, 
E0:63:DA:07:47:21, 2024-12-24 18:39:25, 2024-12-24 18:39:46,  1, 130, WPA2, CCMP, PSK, -86,       13,        0,   0.  0.  0.  0,   7, uniwifi, 
EA:63:DA:07:47:21, 2024-12-24 18:39:25, 2024-12-24 18:39:35,  1, 130, WPA2, CCMP, PSK, -85,        8,        0,   0.  0.  0.  0,  10, WiTre_Gast, 
24:65:11:8A:E8:9F, 2024-12-24 18:39:25, 2024-12-24 18:39:50, 13, 270, WPA2, CCMP, PSK, -67,       39,        9,   0.  0.  0.  0,  12, Schirmakazie, 
E6:63:DA:07:47:21, 2024-12-24 18:39:25, 2024-12-24 18:39:46,  1, 130, WPA2, CCMP, PSK, -85,       10,        0,   0.  0.  0.  0,   9, WiTre_IoT, 
90:9A:4A:07:71:04, 2024-12-24 18:39:27, 2024-12-24 18:39:49, 11, 270, WPA2, CCMP, PSK, -83,       22,        1,   0.  0.  0.  0,  12, TP-Link_7104, 
92:9A:4A:27:71:04, 2024-12-24 18:39:27, 2024-12-24 18:39:49, 11, 270, WPA2, CCMP, PSK, -83,       19,        0,   0.  0.  0.  0,   0, , 
2C:52:AF:15:C8:2A, 2024-12-24 18:39:27, 2024-12-24 18:39:49, 11,  65, WPA2, CCMP, PSK, -83,       17,        0,   0.  0.  0.  0,  29, SCharger-22KT-S0-NS2352789872, 
CC:D4:2E:20:FE:EA, 2024-12-24 18:39:27, 2024-12-24 18:39:49, 11, 720, WPA2, CCMP, PSK, -80,       18,       13,   0.  0.  0.  0,  11, WLAN-343813, 
FA:5E:42:27:6C:CA, 2024-12-24 18:39:28, 2024-12-24 18:39:28,  6, 195, OPN, ,   , -92,        2,        0,   0.  0.  0.  0,  17, Vodafone Homespot, 
FA:5E:42:27:6C:CC, 2024-12-24 18:39:28, 2024-12-24 18:39:28,  6, 195, OPN, ,   , -91,        2,        0,   0.  0.  0.  0,  16, Vodafone Hotspot, 
F8:5E:42:27:6C:C8, 2024-12-24 18:39:28, 2024-12-24 18:39:39,  6, 195, WPA2, CCMP, PSK, -92,        2,        1,   0.  0.  0.  0,  13, Vodafone-6CC4, 
7C:FF:4D:58:DC:D8, 2024-12-24 18:39:28, 2024-12-24 18:39:46,  6, 195, WPA2, CCMP, PSK, -89,        3,        0,   0.  0.  0.  0,  17, FRITZ!Box 7430 NH, 
CC:CE:1E:6A:A9:54, 2024-12-24 18:39:31, 2024-12-24 18:39:42, 11,  -1, WPA, ,   , -91,        0,        7,   0.  0.  0.  0,   0, , 
E0:63:DA:15:71:BE, 2024-12-24 18:39:32, 2024-12-24 18:39:46,  1, 195, WPA2, CCMP, PSK, -87,        5,        0,   0.  0.  0.  0,   7, uniwifi, 
2C:3A:FD:EA:FD:47, 2024-12-24 18:39:42, 2024-12-24 18:39:42, 11,  -1, WPA, ,   , -90,        0,        1,   0.  0.  0.  0,   0, , 
2C:91:AB:04:7E:E4, 2024-12-24 18:39:46, 2024-12-24 18:39:46,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
7E:1A:97:2D:30:EA, 2024-12-24 18:39:24, 2024-12-24 18:39:50, -28,      232, 00:1E:C0:25:45:AD,ATU-GAST
A8:3B:76:00:22:2B, 2024-12-24 18:39:47, 2024-12-24 18:39:48, -28,        4, (not associated) ,Schirmakazie2

