Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;XR18-25-45-AD;00:1E:C0:25:45:AD;;1;No;WEP;No;54.0;0;12;0;61;0;0;61;;;Tue Dec 24 19:18:20 2024;Tue Dec 24 19:18:21 2024;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;FRITZ!Box Fon WLAN 7270;C0:25:06:0D:4B:7D;;1;No;WPA2,WPA,AES-CCM,TKIP;No;270.0;0;5;0;0;0;0;0;;;Tue Dec 24 19:18:20 2024;Tue Dec 24 19:18:20 2024;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;Vodafone Homespot;7A:6A:1F:3A:95:B9;;1;No;OPN,None;No;195.0;0;14;0;0;0;0;0;;;Tue Dec 24 19:18:20 2024;Tue Dec 24 19:18:21 2024;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;Schirmakazie2;78:6A:1F:3A:95:E9;;1;No;WPA2,AES-CCM;No;195.0;0;14;0;0;0;0;0;;;Tue Dec 24 19:18:20 2024;Tue Dec 24 19:18:21 2024;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;Vodafone Hotspot;7A:6A:1F:3A:95:99;;1;No;OPN,None;No;195.0;0;14;0;0;0;0;0;;;Tue Dec 24 19:18:20 2024;Tue Dec 24 19:18:21 2024;-55;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;WiTre_IoT;E6:63:DA:07:47:21;;1;No;WPA2,AES-CCM;No;130.0;0;4;0;0;0;0;0;;;Tue Dec 24 19:18:20 2024;Tue Dec 24 19:18:21 2024;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;WiTre_Gast;EA:63:DA:07:47:21;;1;No;WPA2,AES-CCM;No;130.0;0;3;0;0;0;0;0;;;Tue Dec 24 19:18:20 2024;Tue Dec 24 19:18:21 2024;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;uniwifi;E0:63:DA:15:71:BE;;1;No;WPA2,AES-CCM;No;195.0;0;2;0;1;0;0;1;;;Tue Dec 24 19:18:20 2024;Tue Dec 24 19:18:21 2024;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;WiTre_IoT;E6:63:DA:74:57:E3;;1;No;WPA2,AES-CCM;No;195.0;0;2;0;0;0;0;0;;;Tue Dec 24 19:18:20 2024;Tue Dec 24 19:18:20 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;uniwifi;E0:63:DA:07:47:21;;1;No;WPA2,AES-CCM;No;130.0;0;4;0;0;0;0;0;;;Tue Dec 24 19:18:20 2024;Tue Dec 24 19:18:20 2024;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
