;fingerprint;x-pos;y-pos;ssid;bssidd;signal_strength;frequency_standard;location_name
0;0;;;b'wlan4things';b'f4:db:e6:f1:ba:87';60;b'802.11ac';s117
1;0;;;b'wlan4things';b'a8:9d:21:cc:14:66';33;b' 802.11n';s117
2;0;;;b'wlan4things';b'00:be:75:e8:7d:86';46;b' 802.11n';s117
3;0;;;b'wlan4things';b'00:be:75:e8:84:86';31;b' 802.11n';s117
4;0;;;b'wlan4things';b'00:be:75:e7:7a:e9';40;b'802.11ac';s117
5;0;;;b'wlan4things';b'f4:db:e6:f1:ba:88';62;b' 802.11n';s117
6;0;;;b'wlan4things';b'00:be:75:e8:7d:89';40;b'802.11ac';s117
7;0;;;b'wlan4things';b'00:be:75:e7:7a:e6';46;b' 802.11n';s117
8;0;;;b'MCTIoT';b'9c:5c:8e:c9:b6:24';40;b' 802.11n';s117
9;0;;;b'NETGEAR46';b'2c:30:33:34:6d:30';31;b' 802.11n';s117
10;0;;;"b""Dana's Galaxy S21+ 5G""";b'42:10:ef:5d:46:a0';31;b' 802.11n';s117
11;0;;;b'eduroam';b'00:be:75:e8:7d:8f';40;b'802.11ac';s117
12;0;;;b'eduroam';b'f4:db:e6:f1:ba:88';60;b'802.11ac';s117
13;0;;;b'eduroam';b'a8:9d:21:cc:14:60';33;b' 802.11n';s117
14;0;;;b'eduroam';b'f4:db:e6:f1:ba:87';70;b' 802.11n';s117
15;0;;;b'eduroam';b'00:be:75:e7:7a:e0';50;b' 802.11n';s117
16;0;;;b'eduroam';b'00:be:75:e7:7a:ef';40;b'802.11ac';s117
17;0;;;b'';b'00:be:75:e8:84:85';31;b' 802.11n';s117
18;0;;;b'';b'00:be:75:e8:7d:85';46;b' 802.11n';s117
19;0;;;b'';b'f4:db:e6:f1:ba:84';70;b' 802.11n';s117
20;0;;;b'';b'a8:9d:21:cc:14:63';31;b' 802.11n';s117
21;0;;;b'';b'00:be:75:e7:7a:e5';50;b' 802.11n';s117
