;fingerprint;x-pos;y-pos;ssid;bssidd;signal_strength;frequency_standard;location_name
205;8;;; WiTre_Gast;9E:2A:6F:7A:EE:6F;-90;2.4 GHz;flur
190;8;;; ;DC:39:6F:C7:89:E6;-1;2.4 GHz;flur
193;8;;; DTUBI-93143010;54:F2:9F:4E:54:44;-87;2.4 GHz;flur
192;8;;; ;92:9A:4A:27:71:04;-85;2.4 GHz;flur
191;8;;; TP-Link_7104;90:9A:4A:07:71:04;-86;2.4 GHz;flur
186;8;;; Schirmakazie;24:65:11:8A:E8:9F;-84;2.4 GHz;flur
189;8;;; Vodafone Hotspot;7A:6A:1F:3A:95:99;-44;2.4 GHz;flur
188;8;;; Schirmakazie2;78:6A:1F:3A:95:E9;-44;2.4 GHz;flur
194;8;;; uniwifi;E0:63:DA:74:57:E3;-88;2.4 GHz;flur
185;8;;; AP_2080636372;D4:27:87:12:65:28;-72;2.4 GHz;flur
195;8;;; WiTre_IoT;E6:63:DA:74:57:E3;-87;2.4 GHz;flur
201;8;;; WiTre_Gast;EA:63:DA:15:71:BE;-80;2.4 GHz;flur
187;8;;; Vodafone Homespot;7A:6A:1F:3A:95:B9;-44;2.4 GHz;flur
198;8;;; DTUBI-92318054;54:F2:9F:13:CE:AA;-86;2.4 GHz;flur
206;8;;; uniwifi;94:2A:6F:7A:EE:6F;-88;2.4 GHz;flur
197;8;;; WiTre_IoT;E6:63:DA:07:47:21;-87;2.4 GHz;flur
207;8;;; ;7C:FF:4D:58:DC:D8;-89;2.4 GHz;flur
208;8;;; W-33YA182;BE:FF:4D:F1:45:FA;-91;2.4 GHz;flur
204;8;;; WiTre_IoT;9A:2A:6F:7A:EE:6F;-90;2.4 GHz;flur
196;8;;; WiTre_Gast;EA:63:DA:74:57:E3;-88;2.4 GHz;flur
202;8;;; WiTre_Gast;EA:63:DA:07:47:21;-88;2.4 GHz;flur
200;8;;; WiTre_IoT;E6:63:DA:15:71:BE;-80;2.4 GHz;flur
199;8;;; uniwifi;E0:63:DA:15:71:BE;-80;2.4 GHz;flur
203;8;;; WLAN-343813;CC:D4:2E:20:FE:EA;-91;2.4 GHz;flur
180;7;;; WiTre_Gast;EA:63:DA:07:47:21;-91;2.4 GHz;hintertür
179;7;;; WiTre_IoT;E6:63:DA:07:47:21;-90;2.4 GHz;hintertür
183;7;;; ;CC:CE:1E:6A:A9:54;-1;2.4 GHz;hintertür
167;7;;; AP_2080636372;D4:27:87:12:65:28;-61;2.4 GHz;hintertür
184;7;;; ;DC:15:C8:0F:4A:95;-1;2.4 GHz;hintertür
178;7;;; WiTre_Gast;EA:63:DA:74:57:E3;-86;2.4 GHz;hintertür
182;7;;; WiTre_IoT;E6:63:DA:74:57:E3;-86;2.4 GHz;hintertür
181;7;;; uniwifi;E0:63:DA:74:57:E3;-86;2.4 GHz;hintertür
172;7;;; ;92:9A:4A:27:71:04;-91;2.4 GHz;hintertür
166;7;;; Schirmakazie;24:65:11:8A:E8:9F;-72;2.4 GHz;hintertür
176;7;;; DTUBI-93143010;54:F2:9F:4E:54:44;-89;2.4 GHz;hintertür
174;7;;; WiTre_IoT;E6:63:DA:15:71:BE;-90;2.4 GHz;hintertür
173;7;;; uniwifi;E0:63:DA:15:71:BE;-86;2.4 GHz;hintertür
171;7;;; TP-Link_7104;90:9A:4A:07:71:04;-92;2.4 GHz;hintertür
170;7;;; Vodafone Homespot;7A:6A:1F:3A:95:B9;-58;2.4 GHz;hintertür
175;7;;; WiTre_Gast;EA:63:DA:15:71:BE;-87;2.4 GHz;hintertür
169;7;;; Vodafone Hotspot;7A:6A:1F:3A:95:99;-57;2.4 GHz;hintertür
168;7;;; Schirmakazie2;78:6A:1F:3A:95:E9;-57;2.4 GHz;hintertür
177;7;;; DTUBI-92318054;54:F2:9F:13:CE:AA;-90;2.4 GHz;hintertür
223;9;;; WiTre_IoT;E6:63:DA:07:47:21;-87;2.4 GHz;küche
228;9;;; WiTre_Gast;9E:2A:6F:7A:EE:6F;-90;2.4 GHz;küche
