11	-93	cc:d4:2e:20:fe:ea	574c414e2d333433383133
11	-89	60:b5:8d:d3:6e:6c	465249545a21426f782036363930204551
11	-85	54:f2:9f:13:ce:aa	44545542492d3932333138303534
11	-89	60:b5:8d:d3:6e:6c	465249545a21426f782036363930204551
11	-85	54:f2:9f:13:ce:aa	44545542492d3932333138303534
11	-88	60:b5:8d:d3:6e:6c	465249545a21426f782036363930204551
11	-84	54:f2:9f:13:ce:aa	44545542492d3932333138303534
11	-88	60:b5:8d:d3:6e:6c	465249545a21426f782036363930204551
11	-85	54:f2:9f:13:ce:aa	44545542492d3932333138303534
11	-88	60:b5:8d:d3:6e:6c	465249545a21426f782036363930204551
11	-85	54:f2:9f:13:ce:aa	44545542492d3932333138303534
11	-89	60:b5:8d:d3:6e:6c	465249545a21426f782036363930204551
11	-85	54:f2:9f:13:ce:aa	44545542492d3932333138303534
11	-86	54:f2:9f:13:ce:aa	44545542492d3932333138303534
