6	-93	e6:63:da:07:47:21	57695472655f496f54
6	-90	54:f2:9f:4e:54:44	44545542492d3933313433303130
6	-92	ea:63:da:07:47:21	57695472655f47617374
6	-90	54:f2:9f:4e:54:44	44545542492d3933313433303130
6	-88	54:f2:9f:4e:54:44	44545542492d3933313433303130
6	-89	54:f2:9f:4e:54:44	44545542492d3933313433303130
6	-89	54:f2:9f:4e:54:44	44545542492d3933313433303130
6	-89	54:f2:9f:4e:54:44	44545542492d3933313433303130
6	-89	54:f2:9f:4e:54:44	44545542492d3933313433303130
6	-89	54:f2:9f:4e:54:44	44545542492d3933313433303130
6	-88	54:f2:9f:4e:54:44	44545542492d3933313433303130
