
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
24:65:11:8A:E8:9F, 2024-01-26 17:01:02, 2024-01-27 03:03:38, 13, 270, WPA2, CCMP, PSK, -83,      257,        8,   0.  0.  0.  0,  12, Schirmakazie, 
EE:63:DA:74:57:E3, 2024-01-26 17:01:02, 2024-01-26 17:03:08,  1, 195, WPA2, CCMP, PSK, -90,       21,        3,   0.  0.  0.  0,   0, , 
7A:6A:1F:3A:95:B9, 2024-01-26 17:01:02, 2024-01-27 03:03:37,  1, 195, OPN, ,   , -77,      148,        0,   0.  0.  0.  0,  17, Vodafone Homespot, 
78:6A:1F:3A:95:E9, 2024-01-26 17:01:02, 2024-01-27 03:03:37,  1, 195, WPA2, CCMP, PSK, -76,      150,        1,   0.  0.  0.  0,  13, Schirmakazie2, 
7A:6A:1F:3A:95:99, 2024-01-26 17:01:02, 2024-01-27 03:03:37,  1, 195, OPN, ,   , -76,      153,        0,   0.  0.  0.  0,  16, Vodafone Hotspot, 
E6:63:DA:74:57:E3, 2024-01-26 17:01:02, 2024-01-26 17:03:09,  1, 195, WPA2, CCMP, PSK, -89,       13,        0,   0.  0.  0.  0,  10, WiTre_Gast, 
E0:63:DA:74:57:E3, 2024-01-26 17:01:02, 2024-01-26 17:03:19,  1, 195, WPA2, CCMP, PSK, -88,       14,        0,   0.  0.  0.  0,   0, , 
EA:63:DA:74:57:E3, 2024-01-26 17:01:02, 2024-01-26 17:03:08,  1, 195, WPA2, CCMP, PSK, -89,       17,        0,   0.  0.  0.  0,   0, , 
54:F2:9F:13:CE:AA, 2024-01-26 17:01:02, 2024-01-26 17:03:22,  6,  65, WPA2 WPA, CCMP, PSK, -87,      120,        0,   0.  0.  0.  0,  14, DTUBI-92318054, 
C0:25:06:0D:4B:7D, 2024-01-26 17:01:03, 2024-01-27 03:03:39,  9, 270, WPA2 WPA, CCMP TKIP, PSK, -92,      133,        4,   0.  0.  0.  0,  23, FRITZ!Box Fon WLAN 7270, 
54:67:51:0B:07:7F, 2024-01-26 17:01:04, 2024-01-27 03:03:37,  6, 195, WPA2, CCMP, PSK, -77,      185,       45,   0.  0.  0.  0,  13, KabelBox-2298, 
90:9A:4A:07:71:04, 2024-01-26 17:01:04, 2024-01-26 17:03:22, 11, 270, WPA2, CCMP, PSK, -87,      110,        1,   0.  0.  0.  0,  12, TP-Link_7104, 
7C:FF:4D:58:DC:D8, 2024-01-26 17:01:05, 2024-01-27 03:03:37,  1, 195, WPA2, CCMP, PSK, -86,       31,        6,   0.  0.  0.  0,  17, FRITZ!Box 7430 NH, 
7E:61:66:DF:B5:8E, 2024-01-26 17:01:05, 2024-01-27 03:03:37,  1, 130, WPA2, CCMP, PSK, -88,       35,        0,   0.  0.  0.  0,  21, , 
EE:63:DA:07:47:21, 2024-01-26 17:01:05, 2024-01-27 03:03:36,  6, 130, WPA2, CCMP, PSK, -90,       58,        4,   0.  0.  0.  0,   0, , 
46:67:51:0B:07:7F, 2024-01-26 17:01:05, 2024-01-27 03:03:36,  6, 195, OPN, ,   , -79,      137,       15, 192.168.  0.  7,  16, Vodafone Hotspot, 
4A:67:51:0B:07:7F, 2024-01-26 17:01:05, 2024-01-27 03:03:36,  6, 195, OPN, ,   , -81,      141,       17, 192.168.  0.  7,  17, Vodafone Homespot, 
E6:63:DA:07:47:21, 2024-01-26 17:01:05, 2024-01-27 03:03:36,  6, 130, WPA2, CCMP, PSK, -89,       60,        0,   0.  0.  0.  0,  10, WiTre_Gast, 
92:9A:4A:27:71:04, 2024-01-26 17:01:12, 2024-01-26 17:03:22, 11, 270, WPA2, CCMP, PSK, -88,       36,        0,   0.  0.  0.  0,   0, , 
2C:91:AB:D2:B8:4C, 2024-01-26 17:01:15, 2024-01-27 03:03:36, 11, 720, WPA2, CCMP, PSK, -89,        1,        5,   0.  0.  0.  0,  17, FRITZ!Box 7590 DX, 
EA:63:DA:07:47:21, 2024-01-26 17:01:16, 2024-01-27 03:03:36,  6, 130, WPA2, CCMP, PSK, -90,       63,        0,   0.  0.  0.  0,   0, , 
E0:63:DA:07:47:21, 2024-01-26 17:01:16, 2024-01-27 03:03:36,  6, 130, WPA2, CCMP, PSK, -90,       57,        0,   0.  0.  0.  0,   0, , 
2C:91:AB:04:7E:E4, 2024-01-26 17:01:37, 2024-01-26 17:03:11, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
DC:15:C8:0F:4A:95, 2024-01-26 17:02:07, 2024-01-27 03:03:01,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
40:ED:00:25:E0:01, 2024-01-26 17:03:04, 2024-01-26 17:03:04,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
F0:B0:14:17:01:E4, 2024-01-26 17:03:16, 2024-01-26 17:03:16,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
CE:CF:F6:C4:43:0A, 2024-01-26 17:01:09, 2024-01-26 17:02:30, -42,        3, (not associated) ,
2C:C3:E6:D4:0B:66, 2024-01-26 17:01:37, 2024-01-26 17:03:11, -88,       21, 2C:91:AB:04:7E:E4,
18:EF:3A:D1:6C:34, 2024-01-26 17:02:07, 2024-01-26 17:02:07, -83,        1, DC:15:C8:0F:4A:95,
0A:51:F2:B5:F7:1A, 2024-01-26 17:02:58, 2024-01-26 17:02:58, -79,        2, (not associated) ,
10:96:93:AA:29:FF, 2024-01-26 17:03:01, 2024-01-27 03:03:08, -87,        2, 7C:FF:4D:58:DC:D8,
1E:B7:A0:9B:36:30, 2024-01-26 17:03:06, 2024-01-26 17:03:06, -91,        1, (not associated) ,FRITZ!Box 7430 NH
18:EF:3A:92:6B:6C, 2024-01-27 03:03:01, 2024-01-27 03:03:01, -82,        1, DC:15:C8:0F:4A:95,
56:31:C4:A5:CD:C2, 2024-01-27 03:03:03, 2024-01-27 03:03:03, -89,        3, (not associated) ,FRITZ!Box 6360 Cable
7C:61:66:DF:35:8E, 2024-01-27 03:03:08, 2024-01-27 03:03:08, -88,        1, 7C:FF:4D:58:DC:D8,
